1;2;11
1;2;11
2;2;11
2;2;11
4;2;11
3;2;4
4;2;11
3;2;4
5;2;4
5;2;4
6;2;11
6;2;11
7;2;11
7;2;11
8;2;11
9;2;4
8;2;11
9;2;4
10;2;11
11;2;4
10;2;11
11;2;4
12;2;4
14;2;11
13;2;8
12;2;4
14;2;11
13;2;8
17;2;11
15;2;11
16;2;11
17;2;11
15;2;11
16;2;11
19;2;11
20;2;11
18;2;11
19;2;11
20;2;11
18;2;11
21;2;4
21;2;4
23;2;4
22;2;4
23;2;4
22;2;4
25;2;6
24;2;11
25;2;6
24;2;11
26;2;11
26;2;11
27;2;11
28;2;4
27;2;11
28;2;4
29;2;8
31;2;11
30;2;4
29;2;8
31;2;11
30;2;4
32;2;11
32;2;11
34;2;11
33;2;11
34;2;11
33;2;11
36;2;4
35;2;4
36;2;4
35;2;4
37;2;11
37;2;11
39;2;11
38;2;4
39;2;11
38;2;4
40;2;4
40;2;4
41;2;4
41;2;4
43;2;11
44;2;11
42;2;11
43;2;11
44;2;11
42;2;11
45;2;11
45;2;11
46;2;4
46;2;4
47;2;4
47;2;4
48;2;11
48;2;11
49;2;11
49;2;11
50;2;4
50;2;4
51;2;11
51;2;11
52;2;4
52;2;4
53;2;4
53;2;4
54;2;4
55;2;11
54;2;4
55;2;11
56;2;4
56;2;4
57;2;11
57;2;11
60;2;4
59;2;4
58;2;11
60;2;4
59;2;4
58;2;11
61;2;11
61;2;11
62;2;4
62;2;4
63;2;4
64;2;4
63;2;4
64;2;4
66;2;4
67;2;11
65;2;4
66;2;4
67;2;11
65;2;4
70;2;11
69;2;11
68;2;11
70;2;11
69;2;11
68;2;11
71;2;11
71;2;11
72;2;4
72;2;4
73;2;11
73;2;11
76;2;4
75;2;4
74;2;11
76;2;4
75;2;4
74;2;11
77;2;11
78;2;11
77;2;11
78;2;11
80;2;11
79;2;11
80;2;11
79;2;11
81;2;4
82;2;4
81;2;4
82;2;4
84;2;8
83;2;4
84;2;8
83;2;4
85;2;11
85;2;11
87;2;11
86;2;11
87;2;11
86;2;11
89;2;4
88;2;11
89;2;4
88;2;11
90;2;11
90;2;11
91;2;11
93;2;11
92;2;4
91;2;11
93;2;11
92;2;4
94;2;6
95;2;11
94;2;6
95;2;11
97;2;11
98;2;4
96;2;8
97;2;11
98;2;4
96;2;8
102;2;11
100;2;4
101;2;4
99;2;4
102;2;11
105;2;11
100;2;4
106;2;11
101;2;4
103;2;4
99;2;4
104;2;11
105;2;11
106;2;11
103;2;4
104;2;11
108;2;11
109;2;11
107;2;11
108;2;11
109;2;11
107;2;11
112;2;11
111;2;11
110;2;11
112;2;11
111;2;11
110;2;11
116;2;11
113;2;4
114;2;4
115;2;4
116;2;11
113;2;4
114;2;4
115;2;4
117;2;4
117;2;4
118;2;11
118;2;11
119;2;11
120;2;11
119;2;11
120;2;11
121;2;4
121;2;4
122;2;6
122;2;6
124;2;4
123;2;4
124;2;4
123;2;4
125;2;4
125;2;4
126;2;6
127;2;4
126;2;6
127;2;4
131;2;11
128;2;11
130;2;4
129;2;11
131;2;11
128;2;11
130;2;4
129;2;11
133;2;11
132;2;11
133;2;11
132;2;11
134;2;11
134;2;11
135;2;11
135;2;11
136;2;11
136;2;11
137;2;5
137;2;5
